Agent WT1 issued a Withdrawal of $92.00 at: 18/9/2025 17:44:01 EST   Transaction Number: 8
Agent DT5 issued a deposit of $455.00 at: 18/9/2025 17:44:01 EST   Transaction Number: 11
Agent DT2 issued a deposit of $580.00 at: 18/9/2025 17:44:01 EST   Transaction Number: 13
Agent WT8 issued a Withdrawal of $95.00 at: 18/9/2025 17:44:02 EST   Transaction Number: 16
Agent DT5 issued a deposit of $487.00 at: 18/9/2025 17:44:02 EST   Transaction Number: 20
Agent WT8 issued a Withdrawal of $90.00 at: 18/9/2025 17:44:02 EST   Transaction Number: 37
Agent WT2 issued a Withdrawal of $91.00 at: 18/9/2025 17:44:02 EST   Transaction Number: 46
Agent DT2 issued a deposit of $518.00 at: 18/9/2025 17:44:02 EST   Transaction Number: 52
Agent DT4 issued a deposit of $586.00 at: 18/9/2025 17:44:02 EST   Transaction Number: 54
Agent WT1 issued a Withdrawal of $91.00 at: 18/9/2025 17:44:03 EST   Transaction Number: 62
Agent WT4 issued a Withdrawal of $93.00 at: 18/9/2025 17:44:03 EST   Transaction Number: 63
Agent WT1 issued a Withdrawal of $94.00 at: 18/9/2025 17:44:03 EST   Transaction Number: 76
Agent WT8 issued a Withdrawal of $98.00 at: 18/9/2025 17:44:04 EST   Transaction Number: 91
Agent WT8 issued a Withdrawal of $96.00 at: 18/9/2025 17:44:04 EST   Transaction Number: 98
Agent WT10 issued a Withdrawal of $90.00 at: 18/9/2025 17:44:04 EST   Transaction Number: 103
Agent DT2 issued a deposit of $483.00 at: 18/9/2025 17:44:04 EST   Transaction Number: 104
Agent WT6 issued a Withdrawal of $94.00 at: 18/9/2025 17:44:04 EST   Transaction Number: 106
Agent WT8 issued a Withdrawal of $93.00 at: 18/9/2025 17:44:04 EST   Transaction Number: 111
Agent DT3 issued a deposit of $495.00 at: 18/9/2025 17:44:04 EST   Transaction Number: 130
Agent WT4 issued a Withdrawal of $98.00 at: 18/9/2025 17:44:04 EST   Transaction Number: 135
Agent WT4 issued a Withdrawal of $94.00 at: 18/9/2025 17:44:05 EST   Transaction Number: 154
